"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","1","","test_sample3","","","","test_addition[2-4]",""
"broken","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_results","","","","test_validatingCartCount_1[chromium]",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_dataHandling","","","","test_cli",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_dataHandling","","","","test_env",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_dataHandling","","","","test_jsonFromUtils2",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","51","tests","test_dataHandling","","","","test_handlingExcel",""
"passed","Mon Jun 29 23:33:12 UTC 2026","Mon Jun 29 23:33:12 UTC 2026","14","tests","test_home","","","","test_validateTehVisibilityOfSearchBox[chromium]",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","","test_sample1","","","","test_sum",""
"skipped","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","","test_sample1","","","","test_sum2_1",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","","test_sample3","","","","test_addition[4-4]",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","","test_sample2","","","","test_sum4",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_dataHandling","","","","test_jsonhandling",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","","test_sample1","","","","test_sum2",""
"skipped","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","","test_sample2","","","","test_sum5",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_dataHandling","","","","test_handlingCsv",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","1","","test_sample3","","","","test_addition[3-4]",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","1","","test_fixtures","","","","test_m2",""
"broken","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_results","","","","test_validatingCartCount[chromium]",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","1","","test_fixtures","","","","test_m3",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_dataHandling","","","","test_writingCsv",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","","test_sample1","","","","test_sum2_2",""
"broken","Mon Jun 29 23:33:12 UTC 2026","Mon Jun 29 23:33:42 UTC 2026","30006","tests","test_login","","","","test_email_negitiveLogin[chromium]",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","0","tests","test_dataHandling","","","","test_jsonFromUtils",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","1","","test_sample2","","","","test_sum3",""
"broken","Mon Jun 29 23:33:12 UTC 2026","Mon Jun 29 23:33:43 UTC 2026","30468","tests","test_login","","","","test_positiveLogin[chromium]",""
"passed","Mon Jun 29 23:33:07 UTC 2026","Mon Jun 29 23:33:07 UTC 2026","1","","test_fixtures","","","","test_m1",""
